Country,GEff,RoL,VaA,Pstab,ROW,HCI,HCIR,HAQ,GDP,LD,ED,DI,DIRank,PeopleAllow,Parliament,Economy,Democracy,Education,Health,CitInterest
Austria,91.83,97.12,93.6,82.86,3,799,104,88.2,54.53,0.76,0.85,8.29,18,1,41.5446932306747,46.4376186647926,48.8968015036032,13.777564098694,100,81.2989789583907
Belgium,80.77,88.46,95.57,61.9,3,849,115,87.9,50.83,0.82,0.89,7.78,36,1,83.6363636363636,100,50.9090909090909,1.16363636363636,57.9158441558442,20.1649350649351
Bulgaria,65.38,54.81,60.59,66.19,2,591,47,71.4,22.88,0.52,0.61,7.03,52,1.5593220338983,58.0508474576271,100,86.0169491525424,49.9046105730428,1,23.0221953188055
Switzerland,99.52,99.04,97.05,94.76,2,893,99,91.8,70.38,0.86,0.9,9.03,12,1,57.9185433238824,30.529674939689,50.9049672111961,46.4122039720323,100,71.945695549255
Cyprus,78.85,76.44,82.27,63.33,3,635,63,85.3,40.18,0.76,0.86,7.59,34,1.62208258527828,73.3393177737882,73.3393177737882,64.4524236983842,100,1,64.4524236983842
Czechia,78.37,81.73,77.83,80.48,3,731,104,84.8,41.12,0.71,0.81,7.69,31,100,42.0686096343438,52.2952723755622,34.2068706125647,1,59.5306330807611,42.0686096343438
Germany,93.27,92.31,95.07,66.67,3,785,83,86.4,55.06,0.83,0.88,8.68,14,1,63.1106555516448,14.4111754830821,49.4588582078516,14.4111754830821,100,35.8070608640585
Denmark,99.04,98.08,98.52,83.81,3,855,120,85.7,57.57,0.89,0.91,9.22,7,100,50.990099009901,75.4950495049505,50.990099009901,1.1470297029703,75.4950495049505,1
Estonia,85.58,87.02,88.67,68.1,3,729,94,81.4,36.14,0.85,0.9,7.97,27,1,62.7270748192741,41.8653241567885,42.3761738586433,24.8438306242179,100,20.8229440958365
Spain,79.81,80.29,82.76,59.05,3,698,94,89.6,41.61,0.79,0.86,8.08,22,1,39.0870844247431,72.0733427362483,100,82.0382832963933,1.13963328631876,100
Finland,98.56,100,99.01,79.05,3,839,120,89.6,49.336,0.84,0.88,9.14,6,1,70.5923462183752,60.0516020298815,100,63.5075588386413,93.654132418318,29.6447404972676
France,89.42,89.42,87.68,58.57,3,796,104,87.9,48.261,0.8,0.88,7.8,24,1,17.0052329007095,100,50.9521757842709,1.06695368346727,1.06695368346727,17.0052329007095
United Kingdom,90.38,91.35,90.64,63.81,3,728,109,84.6,47.43,0.81,0.87,8.53,16,1,39.6333911414639,42.0686096343438,55.9129527281616,51.7238413619532,100,34.2068706125647
Croatia,67.31,64.9,64.04,71.9,2,644,94,81.6,28.32,0.62,0.73,6.57,59,1,56.3663587840496,100,67.2747690880372,95.4868086282769,70.7842687875225,78.1831793920248
Hungary,70.19,68.27,54.68,71.43,1,565,78,79.6,31.81,0.39,0.49,6.63,55,1.29405940594059,1,50.990099009901,50.990099009901,1,1.39207920792079,100
Ireland,86.54,88.94,94.58,82.38,3,669,94,88.4,86.44,0.81,0.88,9.15,8,1,53.7423445166019,42.0686096343438,40.7186952472438,100,88.4137219268688,60.254169151281
Iceland,92.31,95.19,94.09,99.52,3,797,104,93.6,58.22,0.8,0.88,9.58,2,1,59.1252458073633,35.4742693434514,59.1252458073633,100,87.6192043113779,87.6192043113779
Italy,69.23,61.54,79.8,60.95,3,687,73,88.7,43.17,0.79,0.87,7.71,29,8.07142857142857,64.6428571428571,100,50.5,1,36.3571428571429,1
Lithuania,81.25,81.25,81.77,72.24,2,622,73,76.6,36.24,0.76,0.82,7.51,42,9.25,58.75,100,67,17.5,1,1
Latvia,83.65,80.77,74.38,60,3,605,68,77.7,30.55,0.75,0.83,7.38,38,75.0435787232199,30.6486742395833,80.3956258491736,50.989064622934,1,100,70.5934387737604
Montenegro,58.65,57.21,46.31,47.62,1,668,52,80.7,21.21,0.35,0.45,5.74,81,1,100,50.7801950487622,71.2430214817218,35.8176095121753,68.6366361438332,11.6517548305995
Netherlands,96.63,96.15,97.54,75.71,3,883,125,89.5,57.85,0.83,0.88,8.89,9,1.48324865117019,17.0703569713457,100,75.4953312377126,1.36146038123171,1,22.3072331762979
Norway,97.6,99.52,100,92.38,3,857,120,90.5,64.71,0.85,0.89,9.87,1,1,69.3681653893337,30.6486742395833,50.989064622934,100,30.6486742395833,50.989064622934
Poland,73.08,66.35,70.94,64.28,2,585,57,79.6,32.53,0.55,0.69,6.67,50,1,50.9154951673071,50.9154951673071,30.5445721806461,44.4388049607202,100,69.322184479567
Portugal,84.13,84.62,89.16,90.95,3,754,94,84.5,34.83,0.84,0.89,7.84,26,1,59.0109498796274,70.440403744911,81.8698576101946,35.2938394327668,100,81.8698576101946
Serbia,53.37,50,45.71,45.24,1,699,57,75.4,17.84,0.27,0.35,6.41,66,1,71.937219832551,100,71.937219832551,66.387401166608,98.1620560342991,57.9058297488265
Sweden,97.12,71.15,99.51,86.67,3,800,125,90.5,54.13,0.88,0.91,9.39,3,1,72.7652124546224,45.8149161284906,62.6140157326743,100,100,37.2360239278041
Slovenia,82.21,84.13,80.79,73.81,3,678,94,87.4,39.07,0.77,0.84,7.5,35,1,50.9302267225406,80.3720906890162,60.7441813780325,41.6774677907736,63.9015681974135,100
Slovakia,74.04,71.15,75.37,72.38,2,722,78,78.6,32.86,0.7,0.81,7.1,47,1,100,50.8581216024971,50.8581216024971,49.0106854250079,30.4633875888287,50.8581216024971
